id,station_name,zip_code,charge_level,latitude,longitude,modified,created,connector_type,price,site_id,status,insert stations
1,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
2,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
3,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
4,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
5,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
6,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
7,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
8,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
9,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
10,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
11,"1 Columbia Investment, LLC",92101,2,32.7183484,-117.1670069,2022-10-21 00:32:03+00:00,09/01/2021,J1772,1,1,available,"('1 Columbia Investment, LLC', 2, Point(-117.1670069, 32.7183484), '2022-10-21 00:32:03+00:00', '2021-09-01 00:00:00', 'J1772', 1, 1),"
